customerID,actual_churn_label,predicted_probability,risk_score_0_100,risk_band,Contract,InternetService,PaymentMethod,tenure,MonthlyCharges,top_risk_driver_1,top_risk_driver_2,risk_driver_summary_short
4826-XTSOH,Yes,0.9526,95,Critical,Month-to-month,Fiber optic,Electronic check,1,86.05,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2609-IAICY,Yes,0.9524,95,Critical,Month-to-month,Fiber optic,Electronic check,1,77.15,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9248-OJYKK,Yes,0.9522,95,Critical,Month-to-month,Fiber optic,Electronic check,1,76.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4912-PIGUY,No,0.952,95,Critical,Month-to-month,Fiber optic,Electronic check,1,84.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9124-LHCJQ,Yes,0.9515,95,Critical,Month-to-month,Fiber optic,Mailed check,1,85.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6618-RYATB,Yes,0.9514,95,Critical,Month-to-month,Fiber optic,Mailed check,1,79.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6894-LFHLY,Yes,0.9506,95,Critical,Month-to-month,Fiber optic,Electronic check,1,75.75,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0495-RVCBF,Yes,0.9503,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.7,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2868-MZAGQ,Yes,0.9501,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.25,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7503-ZGUZJ,Yes,0.9499,95,Critical,Month-to-month,Fiber optic,Mailed check,1,84.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6567-HOOPW,Yes,0.9498,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.2,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8058-INTPH,Yes,0.9498,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6960-HVYXR,Yes,0.9496,95,Critical,Month-to-month,Fiber optic,Electronic check,1,76.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5494-HECPR,Yes,0.9495,95,Critical,Month-to-month,Fiber optic,Electronic check,1,80.25,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8580-AECUZ,Yes,0.9495,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9300-RENDD,Yes,0.9495,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.95,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2514-GINMM,Yes,0.9495,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.5,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1761-AEZZR,Yes,0.9495,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5960-WPXQM,Yes,0.9495,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.05,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8740-CRYFY,Yes,0.9495,95,Critical,Month-to-month,Fiber optic,Electronic check,1,78.95,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7120-RFMVS,Yes,0.9492,95,Critical,Month-to-month,Fiber optic,Electronic check,1,84.5,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6230-BSUXY,Yes,0.9492,95,Critical,Month-to-month,Fiber optic,Electronic check,1,85.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3988-RQIXO,Yes,0.9486,95,Critical,Month-to-month,Fiber optic,Electronic check,1,91.3,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5597-GLBUC,Yes,0.9486,95,Critical,Month-to-month,Fiber optic,Electronic check,1,85.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6521-YYTYI,Yes,0.9485,95,Critical,Month-to-month,Fiber optic,Electronic check,1,93.3,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2004-OCQXK,Yes,0.9483,95,Critical,Month-to-month,Fiber optic,Electronic check,1,81.95,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4614-NUVZD,Yes,0.9483,95,Critical,Month-to-month,Fiber optic,Electronic check,1,81.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1415-YFWLT,Yes,0.9483,95,Critical,Month-to-month,Fiber optic,Electronic check,1,89.3,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3722-WPXTK,Yes,0.9482,95,Critical,Month-to-month,Fiber optic,Electronic check,1,88.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1455-ESIQH,Yes,0.9482,95,Critical,Month-to-month,Fiber optic,Electronic check,1,89.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9507-EXLTT,Yes,0.9481,95,Critical,Month-to-month,Fiber optic,Bank transfer (automatic),1,79.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7439-DKZTW,No,0.9479,95,Critical,Month-to-month,Fiber optic,Electronic check,1,80.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3049-NDXFL,Yes,0.9479,95,Critical,Month-to-month,Fiber optic,Mailed check,1,85.8,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1285-OKIPP,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.9,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8375-DKEBR,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5539-TMZLF,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.75,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2636-ALXXZ,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4510-HIMLV,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.8,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7665-TOALD,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8062-YBDOE,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5393-RXQSZ,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4871-JTKJF,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2202-CUYXZ,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,84.85,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7254-IQWOZ,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6502-MJQAE,Yes,0.9476,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0970-ETWGE,Yes,0.9475,95,Critical,Month-to-month,Fiber optic,Electronic check,1,89.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3027-ZTDHO,Yes,0.9475,95,Critical,Month-to-month,Fiber optic,Electronic check,1,89.9,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6857-VWJDT,Yes,0.9475,95,Critical,Month-to-month,Fiber optic,Mailed check,1,95.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7274-RTAPZ,Yes,0.9475,95,Critical,Month-to-month,Fiber optic,Electronic check,1,90.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7216-EWTRS,Yes,0.9474,95,Critical,Month-to-month,Fiber optic,Electronic check,1,100.8,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2867-UIMSS,Yes,0.9473,95,Critical,Month-to-month,Fiber optic,Electronic check,1,80.5,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7577-SWIFR,No,0.9472,95,Critical,Month-to-month,Fiber optic,Electronic check,1,89.25,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9019-QVLZD,Yes,0.947,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0318-QUUOB,Yes,0.947,95,Critical,Month-to-month,Fiber optic,Electronic check,1,80.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4550-EVXNY,Yes,0.9468,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2725-KXXWT,Yes,0.9467,95,Critical,Month-to-month,Fiber optic,Electronic check,1,90.75,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4603-JANFB,Yes,0.9467,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.85,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5550-VFRLC,Yes,0.9467,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.85,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5419-JPRRN,Yes,0.9467,95,Critical,Month-to-month,Fiber optic,Electronic check,1,101.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1820-TQVEV,Yes,0.9465,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7206-GZCDC,Yes,0.9465,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.25,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3428-XZMAZ,Yes,0.9465,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0488-GSLFR,Yes,0.9465,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.5,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6457-GIRWB,Yes,0.9465,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9728-FTTVZ,Yes,0.9464,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.2,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7660-HDPJV,Yes,0.9464,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.2,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5834-ASPWA,Yes,0.9462,95,Critical,Month-to-month,Fiber optic,Electronic check,1,75.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5134-IKDAY,Yes,0.9462,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.8,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7594-RQHXR,Yes,0.9461,95,Critical,Month-to-month,Fiber optic,Electronic check,1,79.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2777-PHDEI,Yes,0.9461,95,Critical,Month-to-month,Fiber optic,Electronic check,1,78.05,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6457-USBER,Yes,0.9461,95,Critical,Month-to-month,Fiber optic,Electronic check,1,80.8,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6910-HADCM,Yes,0.946,95,Critical,Month-to-month,Fiber optic,Electronic check,1,76.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3716-BDVDB,Yes,0.9459,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2506-TNFCO,Yes,0.9459,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7294-TMAOP,Yes,0.9458,95,Critical,Month-to-month,Fiber optic,Electronic check,1,90.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5797-APWZC,Yes,0.9458,95,Critical,Month-to-month,Fiber optic,Electronic check,1,90.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9223-UCPVT,Yes,0.9458,95,Critical,Month-to-month,Fiber optic,Electronic check,1,94.4,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1447-GIQMR,Yes,0.9458,95,Critical,Month-to-month,Fiber optic,Electronic check,1,69.15,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6372-RFVNS,Yes,0.9455,95,Critical,Month-to-month,Fiber optic,Electronic check,1,78.8,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5186-SAMNZ,Yes,0.9454,95,Critical,Month-to-month,Fiber optic,Bank transfer (automatic),1,69.5,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9444-JTXHZ,Yes,0.9452,95,Critical,Month-to-month,Fiber optic,Electronic check,1,76.2,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9787-XVQIU,Yes,0.9451,95,Critical,Month-to-month,Fiber optic,Electronic check,1,75.3,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4988-IQIGL,Yes,0.9451,95,Critical,Month-to-month,Fiber optic,Electronic check,1,75.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0679-IDSTG,Yes,0.945,94,Critical,Month-to-month,Fiber optic,Electronic check,1,69.25,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7493-TPUWZ,Yes,0.945,94,Critical,Month-to-month,Fiber optic,Electronic check,1,79.15,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9885-CSMWE,Yes,0.9448,94,Critical,Month-to-month,Fiber optic,Electronic check,1,78.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5919-TMRGD,Yes,0.9447,94,Critical,Month-to-month,Fiber optic,Electronic check,1,79.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8816-VXNZD,Yes,0.9444,94,Critical,Month-to-month,Fiber optic,Electronic check,1,75.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4806-HIPDW,Yes,0.9443,94,Critical,Month-to-month,Fiber optic,Electronic check,1,68.95,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4844-JJWUY,Yes,0.9442,94,Critical,Month-to-month,Fiber optic,Electronic check,1,86.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1452-VOQCH,No,0.9441,94,Critical,Month-to-month,Fiber optic,Electronic check,1,75.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8775-LHDJH,Yes,0.9441,94,Critical,Month-to-month,Fiber optic,Electronic check,1,90.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5275-SQEIZ,Yes,0.944,94,Critical,Month-to-month,Fiber optic,Mailed check,1,80.85,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7908-QCBCA,Yes,0.9438,94,Critical,Month-to-month,Fiber optic,Mailed check,1,69.4,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8945-GRKHX,Yes,0.9436,94,Critical,Month-to-month,Fiber optic,Electronic check,1,78.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4273-MBHYA,No,0.9432,94,Critical,Month-to-month,Fiber optic,Electronic check,1,89.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1628-BIZYP,No,0.9432,94,Critical,Month-to-month,Fiber optic,Electronic check,1,85.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0107-YHINA,Yes,0.9427,94,Critical,Month-to-month,Fiber optic,Electronic check,1,99.75,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0742-NXBGR,Yes,0.9427,94,Critical,Month-to-month,Fiber optic,Electronic check,1,82.3,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1448-PWKYE,Yes,0.9425,94,Critical,Month-to-month,Fiber optic,Electronic check,1,80.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9725-SCPZG,Yes,0.9425,94,Critical,Month-to-month,Fiber optic,Electronic check,1,90.85,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5196-SGOAK,Yes,0.9423,94,Critical,Month-to-month,Fiber optic,Electronic check,1,75.7,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1157-BQCUW,Yes,0.942,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.95,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3276-HDUEG,Yes,0.9419,94,Critical,Month-to-month,Fiber optic,Mailed check,1,75.05,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6358-LYNGM,Yes,0.9418,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.9,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2254-DLXRI,No,0.9416,94,Critical,Month-to-month,Fiber optic,Mailed check,1,79.15,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8821-XNHVZ,Yes,0.9416,94,Critical,Month-to-month,Fiber optic,Mailed check,1,80.05,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1941-HOSAM,No,0.9416,94,Critical,Month-to-month,Fiber optic,Electronic check,1,90.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0137-OCGAB,Yes,0.9414,94,Critical,Month-to-month,Fiber optic,Mailed check,1,80.2,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5564-NEMQO,Yes,0.9413,94,Critical,Month-to-month,Fiber optic,Bank transfer (automatic),1,75.3,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3871-IKPYH,Yes,0.9411,94,Critical,Month-to-month,Fiber optic,Electronic check,1,69.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0723-DRCLG,Yes,0.9406,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5240-IJOQT,Yes,0.9405,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.7,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2018-QKYGT,No,0.9405,94,Critical,Month-to-month,Fiber optic,Electronic check,1,81.05,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4415-IJZTP,Yes,0.9405,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.5,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4102-OQUPX,Yes,0.9404,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.4,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3551-HUAZH,Yes,0.9403,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.4,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4501-EQDRN,Yes,0.9402,94,Critical,Month-to-month,Fiber optic,Bank transfer (automatic),1,69.7,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1084-UQCHV,Yes,0.9399,94,Critical,Month-to-month,Fiber optic,Bank transfer (automatic),1,69.75,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3296-SILRA,Yes,0.9393,94,Critical,Month-to-month,Fiber optic,Mailed check,1,76.4,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2982-IHMFT,Yes,0.9391,94,Critical,Month-to-month,Fiber optic,Mailed check,1,74.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5875-YPQFJ,Yes,0.939,94,Critical,Month-to-month,Fiber optic,Electronic check,1,69.9,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9804-ICWBG,Yes,0.939,94,Critical,Month-to-month,Fiber optic,Electronic check,1,69.9,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5542-TBBWB,No,0.939,94,Critical,Month-to-month,Fiber optic,Electronic check,1,69.9,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1086-LXKFY,Yes,0.939,94,Critical,Month-to-month,Fiber optic,Mailed check,1,69.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0021-IKXGC,No,0.9387,94,Critical,Month-to-month,Fiber optic,Electronic check,1,72.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3746-EUBYR,Yes,0.9387,94,Critical,Month-to-month,Fiber optic,Bank transfer (automatic),1,74.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6996-KNSML,Yes,0.9387,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.9,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6513-EECDB,Yes,0.9386,94,Critical,Month-to-month,Fiber optic,Electronic check,1,73.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8473-VUVJN,Yes,0.9385,94,Critical,Month-to-month,Fiber optic,Electronic check,1,73.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5884-GCYMI,Yes,0.9384,94,Critical,Month-to-month,Fiber optic,Mailed check,1,69.4,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4110-PFEUZ,Yes,0.9381,94,Critical,Month-to-month,Fiber optic,Mailed check,1,69.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1833-VGRUM,Yes,0.938,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.2,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5043-TRZWM,No,0.9379,94,Critical,Month-to-month,Fiber optic,Electronic check,1,75.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3801-HMYNL,Yes,0.9373,94,Critical,Month-to-month,Fiber optic,Mailed check,1,89.15,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7180-PISOG,Yes,0.9372,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.5,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3707-GNWHM,Yes,0.9369,94,Critical,Month-to-month,Fiber optic,Mailed check,1,74.25,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7595-EUIVN,Yes,0.9368,94,Critical,Month-to-month,Fiber optic,Electronic check,1,75.8,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9940-RHLFB,Yes,0.9368,94,Critical,Month-to-month,Fiber optic,Electronic check,1,75.3,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2013-SGDXK,Yes,0.9363,94,Critical,Month-to-month,Fiber optic,Electronic check,1,84.3,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1062-LHZOD,Yes,0.936,94,Critical,Month-to-month,Fiber optic,Mailed check,1,69.9,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8372-JUXUI,Yes,0.9359,94,Critical,Month-to-month,Fiber optic,Electronic check,1,74.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8000-REIQB,Yes,0.9359,94,Critical,Month-to-month,Fiber optic,Electronic check,1,69.95,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8644-XLFBW,Yes,0.9354,94,Critical,Month-to-month,Fiber optic,Electronic check,1,71.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3878-AVSOQ,No,0.9352,94,Critical,Month-to-month,Fiber optic,Electronic check,1,71.25,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9488-HGMJH,Yes,0.9352,94,Critical,Month-to-month,Fiber optic,Electronic check,1,71.15,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1031-IIDEO,Yes,0.9352,94,Critical,Month-to-month,Fiber optic,Electronic check,1,70.85,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2024-BASKD,Yes,0.9348,93,Critical,Month-to-month,Fiber optic,Mailed check,1,74.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2856-HYAPG,Yes,0.9348,93,Critical,Month-to-month,Fiber optic,Electronic check,1,68.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3066-RRJIO,Yes,0.9345,93,Critical,Month-to-month,Fiber optic,Mailed check,1,69.95,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1853-UDXBW,Yes,0.9345,93,Critical,Month-to-month,Fiber optic,Electronic check,1,70.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8380-PEFPE,Yes,0.9343,93,Critical,Month-to-month,Fiber optic,Electronic check,1,71.65,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6140-QNRQQ,Yes,0.934,93,Critical,Month-to-month,Fiber optic,Mailed check,1,71.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7409-KIUTL,Yes,0.934,93,Critical,Month-to-month,Fiber optic,Electronic check,1,71.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8042-JVNFH,Yes,0.934,93,Critical,Month-to-month,Fiber optic,Mailed check,1,71.35,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
